Marca;;#;;Codigo;;Reff;;Descripcion;;Inv;;Foto
SIDERURGICO;;1;;1111001;;null;;ALAMBRON ESTRIADO 4.00MMX6MTS;;921;;
SIDERURGICO;;2;;1111017;;0007;;ALAMBRON ESTRIADO 4.50MMX6MTS;;738;;
SIDERURGICO;;3;;1111009;;0216;;ALAMBRON ESTRIADO 5.00MMX6MTS;;6;;
SIDERURGICO;;4;;1111002;;0009;;ALAMBRON ESTRIADO 5.20MMX6MTS;;9;;
SIDERURGICO;;5;;1111003;;0010;;ALAMBRON ESTRIADO 6.00MMX6MTS;;231;;
SIDERURGICO;;6;;1111007;;0011;;ALAMBRON ESTRIADO 7.00MMX6MTS;;554;;
SIDERURGICO;;7;;1111010;;0012;;ALAMBRON ESTRIADO 8.00MMX6MTS;;23;;
SIDERURGICO;;8;;1111018;;0013;;ALAMBRON ESTRIADO 9.00MMX6MTS;;2;;
SIDERURGICO;;9;;1112000;;null;;ALAMBRON LISO 4.5MMX6MTS;;68;;
SIDERURGICO;;10;;1112001;;null;;ALAMBRON LISO 5.0MMX6MTS;;62;;
SIDERURGICO;;11;;1112004;;null;;ALAMBRON LISO 7.0MMX6MTS;;6;;
SIDERURGICO;;12;;1106007;;000120;;ANGULO H.N. 20MMX20MMX2.50MMX6MTS (3/4"X3/4");;2;;
SIDERURGICO;;13;;1106001;;null;;ANGULO H.N. 20MMX20MMX3MMX6MTS (3/4"X3/4");;98;;
SIDERURGICO;;14;;1106002;;000010;;ANGULO H.N. 25MMX25MMX3MMX6MTS (1"X1");;86;;
SIDERURGICO;;15;;1106003;;000020/ANGULSID3036;;ANGULO H.N. 30MMX30MMX3MMX6MTS (1-1/4"X1-1/4");;178;;
SIDERURGICO;;16;;1106004;;103020006;;ANGULO H.N. 40MMX40MMX3MMX6MTS (1-1/2"X1-1/2");;78;;
SIDERURGICO;;17;;1106005;;null;;ANGULO H.N. 40MMX40MMX4MMX6MTS (1-1/2"X1-1/2");;65;;
SIDERURGICO;;18;;1106006;;000040;;ANGULO H.N. 50MMX50MMX4MMX6MTS (2"X2");;44;;
SIDERURGICO;;19;;1106011;;null;;ANGULO H.N. 65MMX65MMX6MMX6MTS (2-1/2"X2-1/2");;1;;
SIDERURGICO;;20;;1105005;;HBA126;;BARRA CUADRADA ACANALADA 12MM 1/2"X6MTS;;213;;
SIDERURGICO;;21;;1105001;;40000100;;BARRA CUADRADA LISA 1/2" 12MMX6MTS SIZUCA;;501;;
SIDERURGICO;;22;;1105002;;HBC166;;BARRA CUADRADA LISA 16MM 5/8"X6MTS;;14;;
SIDERURGICO;;23;;1105008;;null;;BARRA CUADRADA LISA 9MMX6MTS;;109;;
SIDERURGICO;;24;;1105007;;null;;BARRA CUADRADA TORNEADA 12MM 1/2"X6MTS;;95;;
SIDERURGICO;;25;;1111022;;40000139;;BARRA DE ACERO CON RESALTE S-40 9MM X 6MTS SIZUCA;;377;;
SIDERURGICO;;26;;1111013;;null;;BARRA DE ACERO CON RESALTE S-60 10MM X 12MTS SIZUCA;;3;;
SIDERURGICO;;27;;1111021;;10-67-001;;BARRA DE ACERO CON RESALTE S-60 12MM X 12MTS SIDOR;;472;;
SIDERURGICO;;28;;1111014;;null;;BARRA DE ACERO CON RESALTE S-60 12MM X 12MTS SIZUCA;;37;;
SIDERURGICO;;29;;1111024;;null;;BARRA DE ACERO CON RESALTE S-60 12MM X 6MTS SIDOR;;1;;
SIDERURGICO;;30;;1111016;;40000045;;BARRA DE ACERO CON RESALTE S-60 12MM X 6MTS SIZUCA;;5;;
SIDERURGICO;;31;;1111015;;null;;BARRA DE ACERO CON RESALTE S-60 16MM X 12MTS SIZUCA;;655;;
SIDERURGICO;;32;;1111019;;null;;BARRA DE ACERO CON RESALTE S-60 16MM X 6MTS SIZUCA;;88;;
SIDERURGICO;;33;;1111023;;40000011;;BARRA DE ACERO CON RESALTE S-60 20MM X 12MTS SIZUCA;;33;;
SIDERURGICO;;34;;1104001;;40000038;;BARRA REDONDA LISA 1/2" 12MMX6MTS SIZUCA;;858;;
SIDERURGICO;;35;;1104002;;0009;;BARRA REDONDA LISA 10MM 3/8"X6MTS;;84;;
SIDERURGICO;;36;;1104006;;10402004;;BARRA REDONDA LISA 16MM 5/8"X6MTS;;208;;
SIDERURGICO;;37;;1104003;;3191;;BARRA REDONDA LISA 20MM 3/4"X6MTS;;160;;
SIDERURGICO;;38;;1104005;;10402001;;BARRA REDONDA LISA 9MM"X6MTS;;38;;
SIDERURGICO;;39;;1118002;;0080;;CERCHA C-10 X 6MTS;;1218;;
SIDERURGICO;;40;;1118003;;0081;;CERCHA C-15 X 6MTS;;531;;
SIDERURGICO;;41;;1121010;;LNV27400;;LAMINA ACEROLIT ONDULADO 4MTS. VENCOR;;1;;
SIDERURGICO;;42;;1121014;;TNV27400;;LAMINA ACEROLIT TRAPEZOIDAL 4MTS VENCOR;;4;;
SIDERURGICO;;43;;1121008;;P129;;LAMINA ALUMINIO ONDULADO ANCHO 12X0.70X3.66MTS (12 PIES);;36;;
SIDERURGICO;;44;;1101015;;LSINOXSTUC03010;;LAMINA ALUMINIO TRAPEZOIDAL SINOXRAL STUCCO 0.30MMX1050X6MTS;;70;;
SIDERURGICO;;45;;1121054;;10111017;;LAMINA GALVANIZADA ACANALADA 0.40X1080X3.66MTS;;50;;
SIDERURGICO;;46;;1121055;;10111036;;LAMINA GALVANIZADA ACANALADA 0.40X1080X6.00MTS;;83;;
SIDERURGICO;;47;;1114035;;null;;LAMINA H.N ESTRIADA 2,40X1,00 (2.00MM);;19;;
SIDERURGICO;;48;;1114028;;10105002;;LAMINA H.N ESTRIADA 2,40X1,00 (3.00MM);;49;;
SIDERURGICO;;49;;1114027;;null;;LAMINA H.N ESTRIADA 2,40X1,00 (4.00MM);;27;;
SIDERURGICO;;50;;1114030;;null;;LAMINA H.N ESTRIADA 2,40X1,20 (6.00MM);;6;;
SIDERURGICO;;51;;1114011;;null;;LAMINA H.N. 2 X 1 (2.50MM);;30;;
SIDERURGICO;;52;;1114018;;null;;LAMINA H.N. 2,40X1,20 (10.00MM.);;1;;
SIDERURGICO;;53;;1114012;;null;;LAMINA H.N. 2,40X1,20 (2.00MM);;26;;
SIDERURGICO;;54;;1114025;;null;;LAMINA H.N. 2,40X1,20 (2.25MM);;13;;
SIDERURGICO;;55;;1114023;;45;;LAMINA H.N. 2,40X1,20 (2.50MM);;26;;
SIDERURGICO;;56;;1114026;;null;;LAMINA H.N. 2,40X1,20 (3.00MM);;31;;
SIDERURGICO;;57;;1114003;;HLN51224;;LAMINA H.N. 2,40X1,20 (5.00MM);;10;;
SIDERURGICO;;58;;1114016;;null;;LAMINA H.N. 2,40X1,20 (6.00MM);;3;;
SIDERURGICO;;59;;1114017;;null;;LAMINA H.N. 2,40X1,20 (8.00MM.);;4;;
SIDERURGICO;;60;;1114024;;null;;LAMINA H.N. 2,40X1,20 (9.00MM.);;2;;
SIDERURGICO;;61;;1114001;;80;;LAMINA H.N. 2X1 (2,00MM.);;44;;
SIDERURGICO;;62;;1114002;;null;;LAMINA H.N. 2X1 (3,00MM.);;20;;
SIDERURGICO;;63;;1113030;;null;;LAMINA H.P CAL 14 2,00X1,00 (1.90);;24;;
SIDERURGICO;;64;;1113007;;000020;;LAMINA H.P CAL 16 1.00X2.00 (1.50);;10;;
SIDERURGICO;;65;;1113013;;null;;LAMINA H.P CAL 18 2,40X1,20 (1.20);;49;;
SIDERURGICO;;66;;1113021;;LF110G;;LAMINA H.P CAL 19 2,40X1,20 (1.10);;2;;
SIDERURGICO;;67;;1113011;;null;;LAMINA H.P CAL 20 2,40X1,20 (0.90);;5;;
SIDERURGICO;;68;;1113003;;10101007;;LAMINA H.P CAL 20 2X1 (0.90);;1;;
SIDERURGICO;;69;;1113033;;null;;LAMINA H.P CAL 21 2,40X1,20 (0.80);;35;;
SIDERURGICO;;70;;1113020;;null;;LAMINA H.P CAL 22 2X1 (0.70);;92;;
SIDERURGICO;;71;;1113001;;null;;LAMINA H.P CAL 24 2.00X1.00 (0.60);;69;;
SIDERURGICO;;72;;1113029;;null;;LAMINA H.P GALVANIZADA CAL 14 1.20X2.40 (1.90);;10;;
SIDERURGICO;;73;;1113023;;null;;LAMINA H.P GALVANIZADA CAL 16 2,40X1,20 (1.50);;16;;
SIDERURGICO;;74;;1113027;;10110073;;LAMINA H.P GALVANIZADA CAL 19 1.20X2.40 (1.10);;6;;
SIDERURGICO;;75;;1113032;;10110084;;LAMINA H.P GALVANIZADA CAL 19 2,00X1,00 (1.10);;30;;
SIDERURGICO;;76;;1113018;;null;;LAMINA H.P GALVANIZADA CAL 20 2,40X1,20 (0.90);;33;;
SIDERURGICO;;77;;1113031;;10110014;;LAMINA H.P GALVANIZADA CAL 22 2,00X1,00 (0.70);;40;;
SIDERURGICO;;78;;1113019;;null;;LAMINA H.P GALVANIZADA CAL 22 2,40X1,20 (0.70);;59;;
SIDERURGICO;;79;;1113025;;10110060;;LAMINA H.P GALVANIZADA CAL 24 1.20X2.40 (0.60);;56;;
SIDERURGICO;;80;;1113016;;null;;LAMINA H.P GALVANIZADA CAL 26 2,40X1,20 (0.40);;20;;
SIDERURGICO;;81;;1121057;;null;;LAMINA LOSACERO 0.45X800X6.10MTS IMPORT;;92;;
SIDERURGICO;;82;;1121047;;null;;LAMINA LOSACERO 0.60X800X6.10MTS IMPORT;;42;;
SIDERURGICO;;83;;1121033;;null;;LAMINA LOSACERO 0.60X910X6.10MTS;;2;;
SIDERURGICO;;84;;1121042;;null;;LAMINA LOSACERO 0.70X780X6.10MTS ALT 1.5";;7;;
SIDERURGICO;;85;;1121028;;10127023;;LAMINA LOSACERO 0.70X910X6.10MTS;;15;;
SIDERURGICO;;86;;1121043;;null;;LAMINA LOSACERO 0.90X780X6.10MTS ALT 1.5";;14;;
SIDERURGICO;;87;;1121060;;10127044;;LAMINA LOSACERO LIVIANO 780X4.10MTS ALT 1.5";;60;;
SIDERURGICO;;88;;1121058;;null;;LAMINA LOSACERO LIVIANO 780X5.10MTS ALT 1.5";;20;;
SIDERURGICO;;89;;1121041;;null;;LAMINA LOSACERO LIVIANO 780X6.10MTS ALT 1.5";;69;;
SIDERURGICO;;90;;1121029;;10127011;;LAMINA LOSACERO LIVIANO 910X6.10MTS;;36;;
SIDERURGICO;;91;;1121015;;MRR27366;;LAMINA MILTEJAS 4 MTS ROJO VENCOR;;28;;
SIDERURGICO;;92;;1126015;;null;;LAMINA P/SANTA MARIA DE HIERRO 110X0.60X6.10MTS;;210;;
SIDERURGICO;;93;;1126010;;null;;LAMINA P/SANTA MARIA DE HIERRO 110X0.70X6.10MTS;;275;;
SIDERURGICO;;94;;1126011;;null;;LAMINA P/SANTA MARIA DE HIERRO CANAL ANCHO 110X0.70X6.10MTS;;66;;
SIDERURGICO;;95;;1126014;;null;;LAMINA P/SANTA MARIA GALVANIZADA 110X0.70X6.10MTS;;96;;
SIDERURGICO;;96;;1126012;;PERFSANTLISO;;LAMINA P/SANTA MARIA LISA GALV 110X0.70X6MTS;;25;;
SIDERURGICO;;97;;1126013;;PERFSANTPERF;;LAMINA P/SANTA MARIA MICROPERFORADO GALV 110X0.70X6MTS;;74;;
SIDERURGICO;;98;;1126009;;00001135;;LAMINA P/SANTA MARIA PLANA DE HIERRO 60X0.70X6MTS.;;62;;
